Timstamp,X,Y
2019.05.07.05.38.36.299,1317,157
2019.05.07.05.38.36.316,1311,174
2019.05.07.05.38.36.335,1303,195
2019.05.07.05.38.36.354,1297,208
2019.05.07.05.38.36.376,1283,231
2019.05.07.05.38.36.396,1276,241
2019.05.07.05.38.36.416,1266,253
2019.05.07.05.38.36.436,1258,263
2019.05.07.05.38.36.456,1251,271
2019.05.07.05.38.36.475,1246,276
2019.05.07.05.38.36.496,1241,282
2019.05.07.05.38.36.515,1222,291
2019.05.07.05.38.36.535,1213,292
2019.05.07.05.38.36.555,1213,292
2019.05.07.05.38.36.576,1213,292
2019.05.07.05.38.36.595,1213,292
2019.05.07.05.38.36.616,1213,292
2019.05.07.05.38.36.635,1213,292
2019.05.07.05.38.36.655,1213,292
2019.05.07.05.38.36.675,1213,292
2019.05.07.05.38.36.696,1213,292
2019.05.07.05.38.36.715,1213,292
2019.05.07.05.38.36.735,1213,292
2019.05.07.05.38.36.755,1213,292
2019.05.07.05.38.36.775,1213,292
2019.05.07.05.38.36.795,1142,308
2019.05.07.05.38.36.815,945,330
2019.05.07.05.38.36.835,815,342
2019.05.07.05.38.36.855,702,342
2019.05.07.05.38.36.875,673,333
2019.05.07.05.38.36.895,645,320
2019.05.07.05.38.36.916,610,303
2019.05.07.05.38.36.935,577,280
2019.05.07.05.38.36.956,550,264
2019.05.07.05.38.36.975,539,259
2019.05.07.05.38.36.995,531,255
2019.05.07.05.38.37.015,529,254
2019.05.07.05.38.37.035,527,254
2019.05.07.05.38.37.056,526,254
2019.05.07.05.38.37.076,525,254
2019.05.07.05.38.37.096,523,254
2019.05.07.05.38.37.116,521,253
2019.05.07.05.38.37.135,514,252
2019.05.07.05.38.37.155,499,251
2019.05.07.05.38.37.175,464,247
2019.05.07.05.38.37.195,428,242
2019.05.07.05.38.37.216,404,238
2019.05.07.05.38.37.236,394,236
2019.05.07.05.38.37.256,388,234
2019.05.07.05.38.37.276,386,232
2019.05.07.05.38.37.295,386,232
2019.05.07.05.38.37.315,386,232
2019.05.07.05.38.37.336,386,232
2019.05.07.05.38.37.355,386,232
2019.05.07.05.38.37.376,386,232
2019.05.07.05.38.37.396,386,232
2019.05.07.05.38.37.415,386,232
2019.05.07.05.38.37.436,386,232
2019.05.07.05.38.37.455,386,232
2019.05.07.05.38.37.475,386,232
2019.05.07.05.38.37.494,429,311
2019.05.07.05.38.37.515,474,391
2019.05.07.05.38.37.536,497,431
2019.05.07.05.38.37.555,512,453
2019.05.07.05.38.37.576,532,483
2019.05.07.05.38.37.595,540,501
2019.05.07.05.38.37.615,545,509
2019.05.07.05.38.37.636,547,512
2019.05.07.05.38.37.655,549,515
2019.05.07.05.38.37.675,552,516
2019.05.07.05.38.37.695,553,518
2019.05.07.05.38.37.715,557,519
2019.05.07.05.38.37.735,559,520
2019.05.07.05.38.37.756,564,521
2019.05.07.05.38.37.775,569,522
2019.05.07.05.38.37.796,574,524
2019.05.07.05.38.37.815,577,526
2019.05.07.05.38.37.836,580,527
2019.05.07.05.38.37.855,580,528
2019.05.07.05.38.37.875,581,529
2019.05.07.05.38.37.896,578,529
2019.05.07.05.38.37.916,564,527
2019.05.07.05.38.37.936,555,524
2019.05.07.05.38.37.955,549,521
2019.05.07.05.38.37.976,544,519
2019.05.07.05.38.37.995,540,519
2019.05.07.05.38.38.015,537,517
2019.05.07.05.38.38.035,535,516
2019.05.07.05.38.38.055,532,516
2019.05.07.05.38.38.075,531,516
2019.05.07.05.38.38.095,529,516
2019.05.07.05.38.38.115,527,515
2019.05.07.05.38.38.135,525,514
2019.05.07.05.38.38.155,525,514
2019.05.07.05.38.38.176,525,514
2019.05.07.05.38.38.196,525,514
2019.05.07.05.38.38.216,525,514
2019.05.07.05.38.38.236,525,514
2019.05.07.05.38.38.255,525,514
2019.05.07.05.38.38.275,525,514
2019.05.07.05.38.38.295,525,514
2019.05.07.05.38.38.315,525,514
2019.05.07.05.38.38.335,519,506
2019.05.07.05.38.38.356,515,500
2019.05.07.05.38.38.376,512,495
2019.05.07.05.38.38.395,511,493
2019.05.07.05.38.38.415,509,492
2019.05.07.05.38.38.434,507,490
2019.05.07.05.38.38.454,506,488
2019.05.07.05.38.38.474,506,488
2019.05.07.05.38.38.496,505,487
2019.05.07.05.38.38.516,505,487
2019.05.07.05.38.38.535,505,487
2019.05.07.05.38.38.556,505,487
2019.05.07.05.38.38.575,505,487
2019.05.07.05.38.38.595,505,487
2019.05.07.05.38.38.616,505,487
2019.05.07.05.38.38.635,505,487
2019.05.07.05.38.38.656,505,487
2019.05.07.05.38.38.675,505,487
2019.05.07.05.38.38.695,505,487
2019.05.07.05.38.38.716,505,487
2019.05.07.05.38.38.735,505,487
2019.05.07.05.38.38.756,505,487
2019.05.07.05.38.38.775,505,487
2019.05.07.05.38.38.795,505,487
2019.05.07.05.38.38.815,505,487
2019.05.07.05.38.38.835,505,487
2019.05.07.05.38.38.856,505,487
2019.05.07.05.38.38.876,505,487
2019.05.07.05.38.38.895,505,487
2019.05.07.05.38.38.915,505,487
2019.05.07.05.38.38.935,505,487
2019.05.07.05.38.38.956,505,487
2019.05.07.05.38.38.975,505,487
2019.05.07.05.38.38.995,505,487
2019.05.07.05.38.39.015,505,487
2019.05.07.05.38.39.036,491,481
2019.05.07.05.38.39.055,375,429
2019.05.07.05.38.39.075,286,386
2019.05.07.05.38.39.095,222,345
2019.05.07.05.38.39.115,160,302
2019.05.07.05.38.39.135,128,273
2019.05.07.05.38.39.155,107,256
2019.05.07.05.38.39.174,97,246
2019.05.07.05.38.39.195,89,239
2019.05.07.05.38.39.215,84,232
2019.05.07.05.38.39.236,80,230
2019.05.07.05.38.39.256,78,229
2019.05.07.05.38.39.276,77,228
2019.05.07.05.38.39.295,75,227
2019.05.07.05.38.39.315,74,227
2019.05.07.05.38.39.335,72,227
2019.05.07.05.38.39.356,71,227
2019.05.07.05.38.39.375,70,227
2019.05.07.05.38.39.396,70,227
2019.05.07.05.38.39.416,68,227
2019.05.07.05.38.39.436,68,227
2019.05.07.05.38.39.455,68,227
2019.05.07.05.38.39.475,68,231
2019.05.07.05.38.39.495,69,237
2019.05.07.05.38.39.515,70,241
2019.05.07.05.38.39.536,73,246
2019.05.07.05.38.39.555,75,251
2019.05.07.05.38.39.576,78,255
2019.05.07.05.38.39.595,80,258
2019.05.07.05.38.39.615,83,262
2019.05.07.05.38.39.635,84,263
2019.05.07.05.38.39.656,85,265
2019.05.07.05.38.39.676,85,267
2019.05.07.05.38.39.695,86,268
2019.05.07.05.38.39.715,86,268
2019.05.07.05.38.39.735,86,268
2019.05.07.05.38.39.755,86,268
2019.05.07.05.38.39.775,86,268
2019.05.07.05.38.39.796,86,268
2019.05.07.05.38.39.815,86,268
2019.05.07.05.38.39.835,86,268
2019.05.07.05.38.39.855,86,268
2019.05.07.05.38.39.875,86,268
2019.05.07.05.38.39.895,86,268
2019.05.07.05.38.39.915,86,268
2019.05.07.05.38.39.935,86,268
2019.05.07.05.38.39.955,86,268
2019.05.07.05.38.39.975,86,268
2019.05.07.05.38.39.996,86,268
2019.05.07.05.38.40.016,86,268
2019.05.07.05.38.40.036,86,268
2019.05.07.05.38.40.055,86,268
2019.05.07.05.38.40.076,86,268
2019.05.07.05.38.40.095,86,268
2019.05.07.05.38.40.116,86,268
2019.05.07.05.38.40.135,86,268
2019.05.07.05.38.40.155,86,268
2019.05.07.05.38.40.175,86,268
2019.05.07.05.38.40.196,86,268
2019.05.07.05.38.40.215,86,268
2019.05.07.05.38.40.235,86,268
2019.05.07.05.38.40.255,86,268
2019.05.07.05.38.40.276,86,268
2019.05.07.05.38.40.295,86,268
2019.05.07.05.38.40.316,86,268
2019.05.07.05.38.40.336,86,268
2019.05.07.05.38.40.356,86,268
2019.05.07.05.38.40.376,86,268
2019.05.07.05.38.40.398,86,268
2019.05.07.05.38.40.416,86,268
2019.05.07.05.38.40.435,86,268
2019.05.07.05.38.40.455,86,268
2019.05.07.05.38.40.476,86,268
2019.05.07.05.38.40.495,86,268
2019.05.07.05.38.40.515,86,268
2019.05.07.05.38.40.535,86,268
2019.05.07.05.38.40.556,86,268
2019.05.07.05.38.40.575,86,268
2019.05.07.05.38.40.596,86,268
2019.05.07.05.38.40.615,86,268
2019.05.07.05.38.40.635,86,268
2019.05.07.05.38.40.655,86,268
2019.05.07.05.38.40.674,86,268
2019.05.07.05.38.40.695,86,268
2019.05.07.05.38.40.715,86,268
2019.05.07.05.38.40.735,86,268
2019.05.07.05.38.40.755,86,268
2019.05.07.05.38.40.775,86,268
2019.05.07.05.38.40.795,86,268
2019.05.07.05.38.40.816,86,268
2019.05.07.05.38.40.835,86,268
2019.05.07.05.38.40.855,86,268
2019.05.07.05.38.40.874,86,268
2019.05.07.05.38.40.895,86,268
2019.05.07.05.38.40.915,86,268
2019.05.07.05.38.40.935,86,268
2019.05.07.05.38.40.956,86,268
2019.05.07.05.38.40.975,86,268
2019.05.07.05.38.40.995,86,268
2019.05.07.05.38.41.015,86,268
2019.05.07.05.38.41.036,86,268
2019.05.07.05.38.41.055,86,268
2019.05.07.05.38.41.075,86,268
2019.05.07.05.38.41.096,86,268
2019.05.07.05.38.41.115,86,268
2019.05.07.05.38.41.135,86,268
2019.05.07.05.38.41.156,86,268
2019.05.07.05.38.41.175,86,268
2019.05.07.05.38.41.196,86,268
2019.05.07.05.38.41.216,86,268
2019.05.07.05.38.41.236,86,268
2019.05.07.05.38.41.256,86,268
2019.05.07.05.38.41.276,86,268
2019.05.07.05.38.41.295,86,268
2019.05.07.05.38.41.315,86,268
2019.05.07.05.38.41.336,86,268
2019.05.07.05.38.41.356,86,268
2019.05.07.05.38.41.376,86,268
2019.05.07.05.38.41.395,86,268
2019.05.07.05.38.41.415,86,268
2019.05.07.05.38.41.435,86,268
2019.05.07.05.38.41.456,86,268
2019.05.07.05.38.41.475,94,270
2019.05.07.05.38.41.495,119,279
2019.05.07.05.38.41.514,135,284
2019.05.07.05.38.41.535,150,287
2019.05.07.05.38.41.556,158,289
2019.05.07.05.38.41.575,164,290
2019.05.07.05.38.41.595,169,291
