Timestamp,X,Y
2019.05.10.03.41.23.813,406,79
2019.05.10.03.41.23.830,406,79
2019.05.10.03.41.23.850,406,79
2019.05.10.03.41.23.870,406,79
2019.05.10.03.41.23.892,406,79
2019.05.10.03.41.23.911,406,79
2019.05.10.03.41.23.931,406,79
2019.05.10.03.41.23.950,406,79
2019.05.10.03.41.23.970,406,79
2019.05.10.03.41.23.991,406,79
2019.05.10.03.41.24.011,406,79
2019.05.10.03.41.24.031,406,79
2019.05.10.03.41.24.051,406,79
2019.05.10.03.41.24.071,406,79
2019.05.10.03.41.24.090,406,79
2019.05.10.03.41.24.111,406,79
2019.05.10.03.41.24.130,406,79
2019.05.10.03.41.24.150,406,79
2019.05.10.03.41.24.171,406,79
2019.05.10.03.41.24.191,406,79
2019.05.10.03.41.24.218,406,79
2019.05.10.03.41.24.231,406,79
2019.05.10.03.41.24.251,406,79
2019.05.10.03.41.24.271,406,79
2019.05.10.03.41.24.292,409,84
2019.05.10.03.41.24.311,422,102
2019.05.10.03.41.24.330,436,122
2019.05.10.03.41.24.352,449,137
2019.05.10.03.41.24.370,456,145
2019.05.10.03.41.24.390,463,157
2019.05.10.03.41.24.410,470,169
2019.05.10.03.41.24.431,476,179
2019.05.10.03.41.24.450,479,186
2019.05.10.03.41.24.470,481,188
2019.05.10.03.41.24.491,482,192
2019.05.10.03.41.24.511,483,194
2019.05.10.03.41.24.531,484,197
2019.05.10.03.41.24.550,486,200
2019.05.10.03.41.24.570,490,204
2019.05.10.03.41.24.590,495,209
2019.05.10.03.41.24.611,500,217
2019.05.10.03.41.24.632,505,224
2019.05.10.03.41.24.651,507,227
2019.05.10.03.41.24.671,509,231
2019.05.10.03.41.24.692,511,235
2019.05.10.03.41.24.712,512,238
2019.05.10.03.41.24.731,514,240
2019.05.10.03.41.24.751,516,243
2019.05.10.03.41.24.771,518,246
2019.05.10.03.41.24.791,519,248
2019.05.10.03.41.24.810,521,249
2019.05.10.03.41.24.832,522,251
2019.05.10.03.41.24.851,524,253
2019.05.10.03.41.24.870,526,255
2019.05.10.03.41.24.890,528,256
2019.05.10.03.41.24.911,530,258
2019.05.10.03.41.24.931,532,259
2019.05.10.03.41.24.952,533,261
2019.05.10.03.41.24.970,534,261
2019.05.10.03.41.24.991,536,262
2019.05.10.03.41.25.010,537,263
2019.05.10.03.41.25.031,537,263
2019.05.10.03.41.25.050,537,263
2019.05.10.03.41.25.070,537,263
2019.05.10.03.41.25.092,537,263
2019.05.10.03.41.25.112,537,263
2019.05.10.03.41.25.132,537,263
2019.05.10.03.41.25.151,537,263
2019.05.10.03.41.25.171,537,263
2019.05.10.03.41.25.191,537,263
2019.05.10.03.41.25.210,537,263
2019.05.10.03.41.25.231,537,263
2019.05.10.03.41.25.250,537,263
2019.05.10.03.41.25.270,537,263
2019.05.10.03.41.25.291,537,263
2019.05.10.03.41.25.310,537,263
2019.05.10.03.41.25.332,537,263
2019.05.10.03.41.25.350,537,263
2019.05.10.03.41.25.371,537,263
2019.05.10.03.41.25.390,537,263
2019.05.10.03.41.25.410,537,263
2019.05.10.03.41.25.430,537,263
2019.05.10.03.41.25.450,537,263
2019.05.10.03.41.25.471,537,263
2019.05.10.03.41.25.490,537,263
2019.05.10.03.41.25.510,537,263
2019.05.10.03.41.25.531,537,263
2019.05.10.03.41.25.551,537,263
2019.05.10.03.41.25.572,537,263
2019.05.10.03.41.25.591,537,263
2019.05.10.03.41.25.611,537,263
2019.05.10.03.41.25.630,537,263
2019.05.10.03.41.25.651,537,263
2019.05.10.03.41.25.670,537,263
2019.05.10.03.41.25.691,537,263
2019.05.10.03.41.25.711,537,263
2019.05.10.03.41.25.732,537,263
2019.05.10.03.41.25.751,537,263
2019.05.10.03.41.25.772,537,263
2019.05.10.03.41.25.791,537,263
2019.05.10.03.41.25.810,537,263
2019.05.10.03.41.25.830,537,263
2019.05.10.03.41.25.851,537,263
2019.05.10.03.41.25.871,537,263
2019.05.10.03.41.25.891,537,263
2019.05.10.03.41.25.911,537,263
2019.05.10.03.41.25.930,537,263
2019.05.10.03.41.25.950,537,263
2019.05.10.03.41.25.971,537,263
2019.05.10.03.41.25.991,537,263
2019.05.10.03.41.26.010,537,263
2019.05.10.03.41.26.031,537,263
2019.05.10.03.41.26.051,537,263
2019.05.10.03.41.26.071,537,263
2019.05.10.03.41.26.090,537,263
2019.05.10.03.41.26.112,537,263
2019.05.10.03.41.26.132,537,263
2019.05.10.03.41.26.151,537,263
2019.05.10.03.41.26.172,537,263
2019.05.10.03.41.26.190,537,263
2019.05.10.03.41.26.212,537,263
2019.05.10.03.41.26.230,537,263
2019.05.10.03.41.26.251,537,263
2019.05.10.03.41.26.270,537,263
2019.05.10.03.41.26.291,537,263
2019.05.10.03.41.26.310,537,263
2019.05.10.03.41.26.331,537,263
2019.05.10.03.41.26.351,537,263
2019.05.10.03.41.26.370,537,263
2019.05.10.03.41.26.390,537,263
2019.05.10.03.41.26.410,537,263
2019.05.10.03.41.26.431,537,263
2019.05.10.03.41.26.451,537,263
2019.05.10.03.41.26.470,537,263
2019.05.10.03.41.26.490,537,263
2019.05.10.03.41.26.511,537,263
2019.05.10.03.41.26.531,537,263
2019.05.10.03.41.26.552,537,263
2019.05.10.03.41.26.571,537,263
2019.05.10.03.41.26.591,537,263
2019.05.10.03.41.26.611,537,263
2019.05.10.03.41.26.632,537,263
2019.05.10.03.41.26.652,537,263
2019.05.10.03.41.26.671,537,263
2019.05.10.03.41.26.692,537,263
2019.05.10.03.41.26.710,537,263
2019.05.10.03.41.26.730,537,263
2019.05.10.03.41.26.750,537,263
2019.05.10.03.41.26.771,537,263
2019.05.10.03.41.26.790,537,263
2019.05.10.03.41.26.810,537,263
2019.05.10.03.41.26.830,537,263
2019.05.10.03.41.26.850,537,263
2019.05.10.03.41.26.870,537,263
2019.05.10.03.41.26.890,537,263
2019.05.10.03.41.26.910,537,263
2019.05.10.03.41.26.930,537,263
2019.05.10.03.41.26.950,537,263
2019.05.10.03.41.26.971,537,263
2019.05.10.03.41.26.992,537,263
2019.05.10.03.41.27.011,537,263
2019.05.10.03.41.27.032,537,263
2019.05.10.03.41.27.050,537,263
2019.05.10.03.41.27.071,537,263
2019.05.10.03.41.27.091,537,263
2019.05.10.03.41.27.111,537,263
2019.05.10.03.41.27.131,537,263
2019.05.10.03.41.27.151,537,263
2019.05.10.03.41.27.171,537,263
2019.05.10.03.41.27.192,537,263
2019.05.10.03.41.27.212,537,263
2019.05.10.03.41.27.231,537,263
2019.05.10.03.41.27.250,537,263
2019.05.10.03.41.27.271,537,263
2019.05.10.03.41.27.291,537,263
2019.05.10.03.41.27.311,537,263
2019.05.10.03.41.27.330,537,263
2019.05.10.03.41.27.350,537,263
2019.05.10.03.41.27.371,537,263
2019.05.10.03.41.27.392,537,263
2019.05.10.03.41.27.412,537,263
2019.05.10.03.41.27.430,537,263
2019.05.10.03.41.27.450,537,263
2019.05.10.03.41.27.471,537,263
2019.05.10.03.41.27.490,537,263
2019.05.10.03.41.27.511,537,263
2019.05.10.03.41.27.531,537,263
2019.05.10.03.41.27.551,537,263
2019.05.10.03.41.27.571,537,263
2019.05.10.03.41.27.591,537,263
2019.05.10.03.41.27.610,537,263
2019.05.10.03.41.27.631,537,263
2019.05.10.03.41.27.650,537,263
2019.05.10.03.41.27.671,537,263
2019.05.10.03.41.27.690,537,263
2019.05.10.03.41.27.712,537,263
2019.05.10.03.41.27.731,537,263
2019.05.10.03.41.27.750,537,263
2019.05.10.03.41.27.771,538,263
2019.05.10.03.41.27.791,538,263
2019.05.10.03.41.27.810,538,263
2019.05.10.03.41.27.830,538,263
2019.05.10.03.41.27.851,538,263
2019.05.10.03.41.27.870,538,263
2019.05.10.03.41.27.891,538,263
2019.05.10.03.41.27.910,538,263
2019.05.10.03.41.27.931,538,263
2019.05.10.03.41.27.951,538,263
2019.05.10.03.41.27.972,538,263
2019.05.10.03.41.27.990,538,263
2019.05.10.03.41.28.011,538,263
2019.05.10.03.41.28.031,538,263
2019.05.10.03.41.28.050,538,263
2019.05.10.03.41.28.070,538,263
2019.05.10.03.41.28.091,538,263
